Sample,Time_ms,Raw_Bytes
1,1990,55 8 0 4 5 2 15 79 24
2,2979,55 11 0 4 5 9 0 0 0 0 137 242
3,3978,55 8 0 3 4 16 0 83 8
4,4979,55 10 0 4 3 5 0 255 255 13 36
5,5979,55 10 0 4 3 7 1 1 1 156 188
6,6978,55 8 0 3 5 14 4 10 171
7,7979,55 8 0 3 5 11 1 201 248
8,8978,55 8 0 5 1 4 2 205 64
9,9978,55 8 0 3 5 13 1 202 88
10,10978,55 8 0 4 5 10 15 72 216
11,11992,55 10 0 4 5 1 0 255 255 132 20
12,12980,55 10 0 4 3 5 1 1 1 157 4
13,13980,55 11 0 4 3 6 0 0 16 65 16 101
14,14979,55 11 0 4 3 6 0 0 32 65 4 101
15,15979,55 10 0 4 3 7 1 1 4 92 191
16,16979,55 10 0 4 3 7 1 1 3 29 125
17,17979,55 11 0 4 3 6 0 0 16 65 16 101
18,18980,55 10 0 4 3 7 1 1 4 92 191
19,19980,55 10 0 4 3 7 1 1 3 29 125
20,20980,55 10 0 4 3 7 1 1 2 220 189
21,21992,55 10 0 4 3 7 1 1 3 29 125
22,22979,55 10 0 4 3 7 1 1 2 220 189
23,23978,55 11 0 4 3 6 0 0 224 64 149 165
24,24979,55 11 0 4 3 6 0 0 0 65 29 165
25,25979,55 11 0 4 3 6 0 0 16 65 16 101
26,26979,55 10 0 4 3 7 1 1 2 220 189
27,27979,55 11 0 4 3 6 0 0 32 65 4 101
28,28979,55 11 0 4 3 6 0 0 224 64 149 165
29,29980,55 11 0 4 3 6 0 0 0 65 29 165
30,30979,55 11 0 4 3 6 0 0 0 65 29 165
31,31991,55 10 0 4 3 7 1 1 3 29 125
32,32979,55 11 0 4 3 6 0 0 0 65 29 165
33,33979,55 10 0 4 3 7 1 1 4 92 191
34,34979,55 11 0 4 3 6 0 0 0 65 29 165
35,35979,55 11 0 4 3 6 0 0 224 64 149 165
36,36979,55 10 0 4 5 1 1 1 1 20 52
37,37979,55 11 0 4 3 6 0 0 16 65 16 101
38,38978,55 11 0 4 3 6 0 0 0 65 29 165
39,40979,55 11 0 4 3 6 0 0 0 65 29 165
40,42982,55 11 0 4 3 6 0 0 0 65 29 165
41,45007,55 11 0 4 3 6 0 0 64 65 44 101
42,45982,55 11 0 4 3 6 0 0 48 65 9 165
43,46982,55 10 0 4 3 7 1 1 2 220 189
44,47983,55 11 0 4 3 6 0 0 224 64 149 165
45,48982,55 11 0 4 3 6 0 0 224 64 149 165
46,50982,55 11 0 4 3 6 0 0 0 65 29 165
47,51982,55 10 0 4 3 7 1 1 3 29 125
48,53981,55 11 0 4 3 6 0 0 32 65 4 101
