Sample,Time_ms,Raw_Bytes
1,1989,55 8 0 4 5 2 15 79 24
2,2978,55 11 0 4 5 9 0 0 0 0 137 242
3,3977,55 8 0 3 4 16 0 83 8
4,4977,55 10 0 4 3 5 0 255 255 13 36
5,5978,55 10 0 4 3 7 1 1 1 156 188
6,6977,55 8 0 3 5 14 4 10 171
7,7978,55 8 0 3 5 11 1 201 248
8,8977,55 8 0 5 1 4 2 205 64
9,9977,55 8 0 3 5 13 1 202 88
10,10978,55 8 0 4 5 10 15 72 216
11,11991,55 10 0 4 5 1 0 255 255 132 20
12,12978,55 10 0 4 3 5 1 1 1 157 4
13,13978,55 11 0 4 3 6 0 0 32 65 4 101
14,14978,55 10 0 4 3 7 1 1 4 92 191
15,15978,55 11 0 4 3 6 0 0 192 64 140 101
16,16978,55 11 0 4 3 6 0 0 0 65 29 165
17,17978,55 11 0 4 3 6 0 0 192 64 140 101
18,18978,55 11 0 4 3 6 0 0 48 65 9 165
19,19979,55 11 0 4 3 6 0 0 64 65 44 101
20,20978,55 11 0 4 3 6 0 0 224 64 149 165
21,21990,55 10 0 4 5 1 1 1 1 20 52
22,22978,55 10 0 4 3 7 1 1 3 29 125
23,23978,55 11 0 4 3 6 0 0 224 64 149 165
24,24978,55 10 0 4 3 7 1 1 4 92 191
25,25978,55 11 0 4 3 6 0 0 48 65 9 165
26,26978,55 11 0 4 3 6 0 0 0 65 29 165
27,27978,55 11 0 4 3 6 0 0 192 64 140 101
28,29978,55 11 0 4 3 6 0 0 0 65 29 165
29,31978,55 11 0 4 3 6 0 0 192 64 140 101
30,33979,55 11 0 4 3 6 0 0 16 65 16 101
31,34990,55 10 0 4 3 7 1 1 3 29 125
32,35978,55 11 0 4 3 6 0 0 96 65 53 165
33,36978,55 10 0 4 3 7 1 1 4 92 191
34,38978,55 11 0 4 3 6 0 0 16 65 16 101
35,40978,55 11 0 4 3 6 0 0 224 64 149 165
36,41979,55 11 0 4 3 6 0 0 0 65 29 165
37,43978,55 11 0 4 3 6 0 0 0 65 29 165
38,44978,55 10 0 4 3 7 1 1 2 220 189
39,45978,55 11 0 4 3 6 0 0 112 65 56 101
40,47978,55 11 0 4 3 6 0 0 192 65 77 165
41,48990,55 11 0 4 3 6 0 0 112 65 56 101
42,50978,55 11 0 4 3 6 0 0 16 65 16 101
43,52978,55 11 0 4 3 6 0 0 0 65 29 165
44,54978,55 11 0 4 3 6 0 0 16 65 16 101
45,56979,55 11 0 4 3 6 0 0 48 65 9 165
46,58978,55 11 0 4 3 6 0 0 192 64 140 101
47,60978,55 11 0 4 3 6 0 0 16 65 16 101
48,62977,55 11 0 4 3 6 0 0 0 65 29 165
49,63978,55 11 0 4 3 6 0 0 192 64 140 101
50,65978,55 11 0 4 3 6 0 0 32 65 4 101
51,67990,55 11 0 4 3 6 0 0 224 64 149 165
52,69979,55 11 0 4 3 6 0 0 64 65 44 101
53,71979,55 11 0 4 3 6 0 0 16 65 16 101
54,73978,55 11 0 4 3 6 0 0 224 64 149 165
55,75980,55 11 0 4 3 6 0 0 224 64 149 165
56,77981,55 11 0 4 3 6 0 0 192 64 140 101
57,78981,55 11 0 4 3 6 0 0 16 65 16 101
58,80980,55 11 0 4 3 6 0 0 224 64 149 165
59,82981,55 11 0 4 3 6 0 0 224 64 149 165
60,84981,55 11 0 4 3 6 0 0 16 65 16 101
61,86996,55 11 0 4 3 6 0 0 0 65 29 165
62,88980,55 11 0 4 3 6 0 0 16 65 16 101
63,90981,55 11 0 4 3 6 0 0 192 64 140 101
64,92981,55 11 0 4 3 6 0 0 160 64 164 101
65,93995,55 11 0 4 3 6 0 0 224 64 149 165
66,95981,55 11 0 4 3 6 0 0 192 64 140 101
67,97981,55 11 0 4 3 6 0 0 16 65 16 101
68,99980,55 11 0 4 3 6 0 0 192 64 140 101
69,101981,55 11 0 4 3 6 0 0 224 64 149 165
70,103981,55 11 0 4 3 6 0 0 16 65 16 101
71,105991,55 11 0 4 3 6 0 0 16 65 16 101
72,107978,55 11 0 4 3 6 0 0 160 64 164 101
73,108978,55 11 0 4 3 6 0 0 16 65 16 101
74,110978,55 11 0 4 3 6 0 0 224 64 149 165
75,112978,55 11 0 4 3 6 0 0 192 64 140 101
76,113978,55 11 0 4 3 6 0 0 160 64 164 101
77,114978,55 10 0 4 3 7 1 1 2 220 189
78,116978,55 11 0 4 3 6 0 0 224 64 149 165
79,117978,55 10 0 4 3 7 1 1 4 92 191
80,119978,55 11 0 4 3 6 0 0 32 65 4 101
81,121990,55 11 0 4 3 6 0 0 192 64 140 101
82,123978,55 11 0 4 3 6 0 0 192 64 140 101
83,124978,55 10 0 4 5 1 1 1 1 20 52
84,126978,55 11 0 4 3 6 0 0 192 64 140 101
85,128978,55 11 0 4 3 6 0 0 0 65 29 165
86,130979,55 11 0 4 3 6 0 0 192 64 140 101
87,132978,55 11 0 4 3 6 0 0 192 64 140 101
88,134978,55 11 0 4 3 6 0 0 0 65 29 165
89,136978,55 11 0 4 3 6 0 0 16 65 16 101
90,138978,55 11 0 4 3 6 0 0 192 64 140 101
91,139990,55 10 0 4 5 1 1 1 1 20 52
92,141977,55 11 0 4 3 6 0 0 192 64 140 101
93,143978,55 11 0 4 3 6 0 0 0 65 29 165
94,145977,55 11 0 4 3 6 0 0 192 64 140 101
95,147978,55 11 0 4 3 6 0 0 192 64 140 101
96,149978,55 11 0 4 3 6 0 0 16 65 16 101
97,151978,55 11 0 4 3 6 0 0 160 64 164 101
98,153978,55 11 0 4 3 6 0 0 160 64 164 101
99,154977,55 10 0 4 5 1 1 1 1 20 52
100,156978,55 11 0 4 3 6 0 0 160 64 164 101
101,158990,55 11 0 4 3 6 0 0 160 64 164 101
102,160978,55 11 0 4 3 6 0 0 160 64 164 101
103,162977,55 10 0 4 3 7 1 1 3 29 125
104,163978,55 10 0 4 3 7 1 1 2 220 189
105,164978,55 11 0 4 3 6 0 0 16 65 16 101
106,166978,55 11 0 4 3 6 0 0 224 64 149 165
107,168978,55 11 0 4 3 6 0 0 16 65 16 101
108,169977,55 11 0 4 3 6 0 0 32 65 4 101
109,171978,55 11 0 4 3 6 0 0 160 64 164 101
