Sample,Time_ms,Raw_Bytes
1,1988,55 8 0 4 5 2 15 79 24
2,2977,55 11 0 4 5 9 0 0 0 0 137 242
3,3976,55 8 0 3 4 16 0 83 8
4,4976,55 10 0 4 3 5 0 255 255 13 36
5,5977,55 10 0 4 3 7 1 1 1 156 188
6,6976,55 8 0 3 5 14 4 10 171
7,7977,55 8 0 3 5 11 1 201 248
8,8977,55 8 0 5 1 4 2 205 64
9,9977,55 8 0 3 5 13 1 202 88
10,10977,55 8 0 4 5 10 15 72 216
11,11990,55 10 0 4 5 1 0 255 255 132 20
12,12977,55 10 0 4 3 5 1 1 1 157 4
13,13977,55 11 0 4 3 6 0 0 152 65 118 101
14,14977,55 10 0 4 3 7 1 1 4 92 191
15,15990,55 11 0 4 3 6 0 0 64 65 44 101
16,16977,55 11 0 4 3 6 0 0 72 66 107 164
17,17977,55 11 0 4 3 6 0 0 12 66 88 164
18,18977,55 11 0 4 3 6 0 0 80 65 33 165
19,19977,55 11 0 4 3 6 0 0 128 65 124 101
20,20977,55 11 0 4 3 6 0 0 76 66 105 100
21,21990,55 10 0 4 5 1 1 1 1 20 52
22,22977,55 11 0 4 3 6 0 0 96 65 53 165
23,23978,55 11 0 4 3 6 0 0 80 65 33 165
24,24978,55 11 0 4 3 6 0 0 160 65 101 165
25,26977,55 11 0 4 3 6 0 0 96 65 53 165
26,28977,55 11 0 4 3 6 0 0 36 66 70 164
27,30977,55 11 0 4 3 6 0 0 136 65 123 165
28,32977,55 11 0 4 3 6 0 0 64 65 44 101
29,33977,55 10 0 4 5 1 1 1 1 20 52
30,35978,55 11 0 4 3 6 0 0 96 65 53 165
31,37990,55 11 0 4 3 6 0 0 80 65 33 165
32,40977,55 11 0 4 3 6 0 0 80 65 33 165
33,42977,55 11 0 4 3 6 0 0 80 65 33 165
34,44977,55 11 0 4 3 6 0 0 64 65 44 101
35,46977,55 11 0 4 3 6 0 0 128 65 124 101
36,48976,55 11 0 4 3 6 0 0 80 65 33 165
37,49977,55 10 0 4 5 1 1 1 1 20 52
38,51977,55 11 0 4 3 6 0 0 32 65 4 101
39,53977,55 11 0 4 3 6 0 0 176 65 104 101
40,55978,55 11 0 4 3 6 0 0 144 65 113 165
41,57989,55 11 0 4 3 6 0 0 80 65 33 165
42,59977,55 11 0 4 3 6 0 0 152 65 118 101
43,61976,55 11 0 4 3 6 0 0 168 65 98 101
44,63977,55 11 0 4 3 6 0 0 32 65 4 101
45,64977,55 10 0 4 5 1 1 1 1 20 52
46,66977,55 11 0 4 3 6 0 0 112 65 56 101
47,68978,55 11 0 4 3 6 0 0 16 65 16 101
48,70978,55 11 0 4 3 6 0 0 96 65 53 165
49,72978,55 11 0 4 3 6 0 0 80 65 33 165
50,74977,55 11 0 4 3 6 0 0 16 65 16 101
51,76989,55 11 0 4 3 6 0 0 64 65 44 101
52,78977,55 11 0 4 3 6 0 0 144 65 113 165
53,79977,55 10 0 4 5 1 1 1 1 20 52
54,81979,55 11 0 4 3 6 0 0 48 65 9 165
55,83981,55 11 0 4 3 6 0 0 160 65 101 165
56,85980,55 11 0 4 3 6 0 0 48 65 9 165
57,87980,55 11 0 4 3 6 0 0 16 65 16 101
58,89979,55 11 0 4 3 6 0 0 48 65 9 165
59,91981,55 11 0 4 3 6 0 0 48 65 9 165
60,93980,55 11 0 4 3 6 0 0 64 65 44 101
61,94991,55 10 0 4 5 1 1 1 1 20 52
62,96979,55 11 0 4 3 6 0 0 112 65 56 101
63,98980,55 11 0 4 3 6 0 0 128 65 124 101
64,100980,55 11 0 4 3 6 0 0 128 65 124 101
65,102979,55 11 0 4 3 6 0 0 96 65 53 165
66,104981,55 11 0 4 3 6 0 0 112 65 56 101
67,106980,55 11 0 4 3 6 0 0 64 65 44 101
68,108981,55 11 0 4 3 6 0 0 64 65 44 101
69,109980,55 10 0 4 5 1 1 1 1 20 52
70,111981,55 11 0 4 3 6 0 0 80 65 33 165
71,113989,55 11 0 4 3 6 0 0 16 65 16 101
72,115977,55 11 0 4 3 6 0 0 96 65 53 165
73,117977,55 11 0 4 3 6 0 0 48 65 9 165
74,119979,55 11 0 4 3 6 0 0 96 65 53 165
75,121977,55 11 0 4 3 6 0 0 80 65 33 165
76,123978,55 11 0 4 3 6 0 0 136 65 123 165
77,124977,55 10 0 4 5 1 1 1 1 20 52
78,126978,55 11 0 4 3 6 0 0 112 65 56 101
79,128978,55 11 0 4 3 6 0 0 112 65 56 101
80,130977,55 11 0 4 3 6 0 0 64 65 44 101
81,132990,55 11 0 4 3 6 0 0 48 65 9 165
82,134977,55 11 0 4 3 6 0 0 96 65 53 165
83,136977,55 11 0 4 3 6 0 0 64 65 44 101
84,138978,55 11 0 4 3 6 0 0 112 65 56 101
85,139977,55 10 0 4 5 1 1 1 1 20 52
86,141977,55 11 0 4 3 6 0 0 112 65 56 101
87,143977,55 11 0 4 3 6 0 0 80 65 33 165
88,145977,55 11 0 4 3 6 0 0 80 65 33 165
89,147977,55 11 0 4 3 6 0 0 80 65 33 165
90,149977,55 11 0 4 3 6 0 0 32 65 4 101
91,151990,55 11 0 4 3 6 0 0 144 65 113 165
